article_name,img_url,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt,none
Nagaland,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Kohima_War_Cemetery%2C_Nagaland.jpg/640px-Kohima_War_Cemetery%2C_Nagaland.jpg,1,1,0,1,0
Eat-More,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Eat-More_Candy_Bars.jpg/640px-Eat-More_Candy_Bars.jpg,1,1,0,1,0
Bristol Scout,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Bristol_Scout_A1742.jpg/220px-Bristol_Scout_A1742.jpg,0,2,1,0,0
VAX,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/VAX_11-780_intero.jpg/640px-VAX_11-780_intero.jpg,1,0,2,0,0
Badakhshan Province,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Badakhshan_districts.png/640px-Badakhshan_districts.png,0,1,0,2,0
Nestor Makhno,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Makhno-1919.jpg/640px-Makhno-1919.jpg,1,0,0,2,0
York Lions football,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/York_Lions_Football_2019.jpg/640px-York_Lions_Football_2019.jpg,0,1,0,2,0
BMW M2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/BMW_G87_M2_1X7A1837.jpg/640px-BMW_G87_M2_1X7A1837.jpg,0,1,1,1,0
Caspar David Friedrich,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Caspar_David_Friedrich_-_Das_Eismeer_-_Hamburger_Kunsthalle_-_02.jpg/640px-Caspar_David_Friedrich_-_Das_Eismeer_-_Hamburger_Kunsthalle_-_02.jpg,1,2,0,0,0
Koala,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Koala_%28Phascolarctos_cinereus%29_female_Mount_Lofty_4.jpg/640px-Koala_%28Phascolarctos_cinereus%29_female_Mount_Lofty_4.jpg,2,0,1,0,0
Gyllenstierna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Christina_Gyllenstierna%2C_wife_of_Regent_Stenonis_of_Sweden.jpg/220px-Christina_Gyllenstierna%2C_wife_of_Regent_Stenonis_of_Sweden.jpg,2,0,1,0,0
