image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
"Steamboat_Bill,_Jr._(United_Artists,_1928)._Pressbook_03.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Steamboat_Bill%2C_Jr._%28United_Artists%2C_1928%29._Pressbook_03.jpg/300px-Steamboat_Bill%2C_Jr._%28United_Artists%2C_1928%29._Pressbook_03.jpg,Pressbook,"In the world of theatrical film exhibition, a pressbook was a promotional tool created and distributed by film distributors in order to market their films.  Sometimes called ""campaign manuals,"" most pressbooks took the form of large, multi-page brochures that were mailed to movie theaters in the interest of helping theaters attract an audience.","Pressbook for Steamboat Bill, Jr. (1928).","Alt-text: A vintage envelope titled ""Showman's Campaign Book"" features an illustration for the film ""Steamboat Bill Jr."" The illustration shows three characters in black and white with exaggerated expressions. The envelope includes spaces marked ""To"" and ""From,"" with postal information at the top.","Alt-text: An old pressbook cover titled ""Showman's Campaign Book"" with an illustration in the center. The illustration features three men in a comedic pose, promoting the film ""Steamboat Bill, Jr."" The background is designed to resemble an envelope with lines indicating where addresses can be written. The text includes mentions of United Artists Corporation and mailing information.","Vintage envelope featuring a cover of a ""Showman's Campaign Book"" with a poster for ""Steamboat Bill Jr."" The poster shows three characters in black and white with a comedic expression. The envelope has areas for sender and recipient details.","Vintage pressbook cover featuring the title ""Showman's Campaign Book"" with an illustration of three characters from ""Steamboat Bill Jr."" mailing details are printed around it."
Fig_37_MA_I437917_TePapa_Plate-LVI-A-supplement_full_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Fig_37_MA_I437917_TePapa_Plate-LVI-A-supplement_full_%28cropped%29.jpg/220px-Fig_37_MA_I437917_TePapa_Plate-LVI-A-supplement_full_%28cropped%29.jpg,Kupea_electilis,"Philpott described this species as follows:  .mw-parser-output .templatequote{overflow:hidden;margin:1em 0;padding:0 32px}.mw-parser-output .templatequotecite{line-height:1.5em;text-align:left;margin-top:0}@media(min-width:500px){.mw-parser-output .templatequotecite{padding-left:1.6em}} ♂ 20mm. Head ochreous mixed with white. Palpi 4, ochreous mixed with white. Antennae in ♂ serrate, ciliations 3⁄4. Thorax ochreous, tegulae margined with white, collar olive brown. Abdomen ochreous, brassy tinged. Legs ochreous, tarsi annulated with white. Forewings long, narrow, costa almost straight, apex blunt-pointed, termen rounded, strongly oblique ; brassy ochreous sprinkled with white ; a thick blackish brown median stripe from base to 2⁄3, interrupted by white markings as follows :—a linear spot beyond base on upper margin suffusedly white beneath, a rather broad outwardly oblique bar beyond this, a subovate spot on upper margin with a streak below it following along fold, a large circular spot at apex above ; beyond apex of median stripe a large suffused roundish whitish patch ; second line broad, curved, white, becoming obsolete on tornus, anteriorly brassy margined ; dorsum suffusedly margined with white ; fringes fuscous mixed with white on apical half and with a darker basal line. Hindwings greyish ochreous ; fringes whitish ochreous with darker basal line half and with a darker basal line. Hindwings greyish ochreous ; fringes whitish ochreous with darker basal line.[5]",Illustration of male.,"Illustration of a moth with outstretched wings. The wings have intricate patterns in shades of brown, black, and cream, with fringe edges. Antennae are visible and long. A small number ""37"" is drawn above the moth. A horizontal line at the bottom indicates scale.","Alt-text: Illustration of a moth with ochreous and white patterning. The forewings are long and narrow, featuring a prominent blackish brown stripe with white markings. Hindwings are greyish ochreous, and the fringes are a blend of whitish ochreous and darker basal lines. The moth is displayed with wings open, and a measurement line is shown beneath.","Illustration of a moth with outstretched wings, featuring detailed patterns in brown and beige, labeled with the number ""37"" above.","Illustration of a moth with outstretched wings, showing brassy ochreous and greyish ochreous colors with white and black markings. The number ""37"" is above the moth."
Zoysia_minima_287180987.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Zoysia_minima_287180987.jpg/220px-Zoysia_minima_287180987.jpg,Kupea_electilis,"This species occurs at sand plains, behind foredunes and low hind dunes.[11] The host of this species is the endemic plant Zoysia minima.[11]",Larval host Zoysia minima.,"Close-up of a patch of green moss with thin, needle-like leaves and small, round green pods scattered throughout. The texture appears dense and lush, with hints of brown and hints of sunlight casting small shadows.","Alt-text: Close-up image of green, thin grass-like foliage, likely Zoysia minima, with some small round seed pods visible among the stems.","Close-up of green, spiky foliage with thin, needle-like leaves.","Close-up of Zoysia minima, showing dense green grass and small plants."
Carl_Otto_Lenz_(1973).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Carl_Otto_Lenz_%281973%29.jpg,Carl_Otto_Lenz,"Carl Otto Lenz (born 5 June 1930) is a German lawyer, member of the German Bundestag (1965–1984) for the CDU and Advocate General at the European Court of Justice (1984–1997).",Lenz during a Bundestag committee hearing in 1973,"Two men in formal attire are seated at a table during a conference or meeting. The man in the foreground, wearing glasses and a suit, is speaking into a microphone. A glass of water and papers are on the table in front of him. The other man, also in a suit, is partially visible, sitting beside him.","Alt-text: A black and white image of a man speaking into a microphone at a panel or conference. He is wearing glasses, a suit, and a tie. Another man is seated beside him in the background.","Two men in suits sit at a table with microphones in front of them, appearing to speak at an event or conference.",Two men seated at a table; one is speaking into a microphone.
Miller_Moss_(8184719)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Miller_Moss_%288184719%29_%28cropped%29.jpg/170px-Miller_Moss_%288184719%29_%28cropped%29.jpg,Miller_Moss_(American_football),"Moss played in two games his first year at USC in 2021 and took a redshirt.[9] In 2022 and 2023, he was Caleb Williams's backup. After Williams sat out, Moss made his first start in the 2023 Holiday Bowl against Louisville.[10][11] Moss led the Trojans to a 42–28 win and was named offensive MVP after throwing a Holiday Bowl-record six touchdowns.",Moss being named Offensive MVP of the 2023 Holiday Bowl.,"A football player wearing a maroon and yellow jersey and a white cap is holding a trophy. The jersey has the number 7 and several logos. There are other people in the background, also wearing similar caps, celebrating.","Alt-text: A football player in a USC Trojans uniform holding a trophy. He is wearing a white cap and has black eye paint under his eyes. There are other people and players in similar uniforms in the background, and he appears to be on a field during a celebration or award ceremony.","A football player in a red and gold uniform with the number ""7"" holds a trophy. He is wearing a white cap that says ""CHAMPIONS"" and has eye black under his eyes. Other players in matching uniforms and caps are in the background.","A football player in a USC uniform, wearing a white cap, holds a trophy while being congratulated."
IMG_BallsbridgeVillage2140_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/IMG_BallsbridgeVillage2140_%28cropped%29.jpg/220px-IMG_BallsbridgeVillage2140_%28cropped%29.jpg,"Pembroke,_Dublin","Pembroke is a former local government area within County Dublin that was adjoining the city of Dublin, Ireland. It was formed as a township for local government purposes by a local act of Parliament, the Pembroke Township Act 1863 (26 & 27 Vict. c. lxxii). The township took its name from the fact that most of the area was part of the estate of the Earl of Pembroke. It was governed by town commissioners until 1899 when it became an urban district. In 1930 Pembroke was absorbed by the City and County Borough of Dublin.",Pembroke Town Hall,"A row of cars is stopped at a traffic light on a road next to a large, historic stone building with a clock and pitched roofs. The day is overcast, and trees line the street.","Alt-text: A street view in Pembroke, Dublin, showing cars lined up on a road next to a historic stone building with gabled roofs. Trees are visible along the sidewalk, and the sky is overcast.",A row of cars waits at a traffic light on a street lined with trees and a stone building in the background. The building has a clock and pointed gables.,"A street view of Pembroke, Dublin, showing a line of cars on the road and a historic stone building with peaked roofs in the background, surrounded by trees."
Eat-More_Candy_Bars.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Eat-More_Candy_Bars.jpg/220px-Eat-More_Candy_Bars.jpg,Eat-More,"It is chewy and comes in a yellow wrapper. It is also rectangular and flat, and ""stretches"" when eaten.  A caramel version was also launched in 1995 which replaced the dark toffee of the original with caramel of similar consistency. It was the same size and shape as the original Eat-More, but it came in a copper-coloured wrapper. The caramel version has since been discontinued.","Two Eat-More candy bars, in 52g size. One has been opened and cut to show internal structure. A Canadian nickel and quarter are included to show scale.","Two Eat-More candy bars with yellow wrappers are displayed. One is partially unwrapped, revealing the dark chewy candy inside. Two Canadian quarters are placed next to the bars.","Alt-text: Two Eat-More chocolate bars in yellow wrappers are placed on a surface. One wrapper is open, revealing pieces of the chewy candy inside. Two coins are also visible next to the bars, providing a sense of scale.","Two ""Eat-More"" candy bars, partially unwrapped, with a piece of the candy exposed. Two coins are placed next to the bars on a table.","Two unwrapped Eat-More candy bars in yellow wrappers, one partially eaten, with two coins nearby for scale."
The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg/175px-The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,The_Man_Who_Laughs_(1928_film),"Following the success of Universal Pictures's 1923 adaptation of Victor Hugo's The Hunchback of Notre-Dame, the company was eager to release another film starring Lon Chaney. A treatment adapting The Phantom of the Opera was prepared, but rejected by the Universal executives. In its place, Chaney was offered the lead in a film version of Hugo's The Man Who Laughs, to be produced under its French title (L'Homme Qui Rit) out of perceived similarity to Les Misérables.[4] The Man Who Laughs, published in 1869, had been subject to significant criticism in both England and France, and was one of Hugo's least successful novels,[5] but it had been filmed twice before. Pathé had produced L'Homme qui rit in France in 1908, and the Austrian film company Olympic-Film released a low-budget German version in 1921 as Das grinsende Gesicht.[6]",Conrad Veidt as Gwynplaine.,"Black and white image of a person with theatrical makeup. They have exaggerated dark eye makeup and a wide, unnaturally large grin, giving a dramatic and slightly eerie expression. The hair is slicked back, and the collar of their clothing is raised. The overall effect is striking and intense.","A black and white promotional still from the 1928 film ""The Man Who Laughs."" The image shows a close-up of a man with slicked-back hair and a wide, exaggerated grin on his face, wearing dark clothing. His expression is both eerie and captivating.","A black and white photograph of a person with exaggerated makeup, featuring dark eyeshadow and a wide, toothy grin, wearing a dark coat.","A monochrome still from the 1928 film ""The Man Who Laughs,"" showing a man with a wide, exaggerated smile and slicked-back hair, wearing dark clothing."
The_Mad_Doctor_(1933)_Poster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/The_Mad_Doctor_%281933%29_Poster.jpg/220px-The_Mad_Doctor_%281933%29_Poster.jpg,Mickey_Mouse,"In Mickey's early films he was often characterized not as a hero, but as an ineffective young suitor to Minnie Mouse. The Barn Dance (March 14, 1929) is the first time in which Mickey is turned down by Minnie in favor of Pete. The Opry House (March 28, 1929) was the first time in which Mickey wore his white gloves. Mickey wears them in almost all of his subsequent appearances and many other characters followed suit. The three lines on the back of Mickey's gloves represent darts in the gloves' fabric extending from between the digits of the hand, typical of glove design of the era.",Poster of the 1933 short The Mad Doctor.,"Vintage poster for the animated short film ""The Mad Doctor"" featuring Mickey Mouse. The image shows Mickey strapped to a chair in a laboratory setting, with a large, shadowy figure resembling a mad scientist nearby. The background includes various lab equipment and a clock. Text at the top reads ""Joseph M. Schenck Presents Walt Disney's Mickey Mouse 'The Mad Doctor'"" and ""United Artists Picture"" at the bottom. The scene has an ominous and dramatic feel.","An illustration from the animated short ""The Mad Doctor"" featuring Mickey Mouse. Mickey is strapped to a table, looking alarmed. A large, menacing figure, presumably the Mad Doctor, stands next to him, holding a saw and casting a shadow on the wall. The setting is a lab filled with scientific equipment, including test tubes and beakers. The title ""Walt Disney's Mickey Mouse: The Mad Doctor"" is prominently displayed at the top.",A vintage poster featuring Mickey Mouse strapped to a chair while a sinister doctor with wild hair and a syringe approaches. The text reads “Walt Disney’s Mickey Mouse ‘The Mad Doctor’” and “United Artists Picture.” The background shows laboratory equipment and a shadowy figure.,"A vintage poster for ""Walt Disney's Mickey Mouse"" featuring ""The Mad Doctor,"" showing Mickey Mouse strapped to a chair near a menacing character in a lab setting."
Mickey_Mouse_in_Plane_Crazy_(1928).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Mickey_Mouse_in_Plane_Crazy_%281928%29.jpg/220px-Mickey_Mouse_in_Plane_Crazy_%281928%29.jpg,Walt_Disney_Animation_Studios,"Working in secret while the rest of the staff finished the remaining Oswalds on contract, Disney and his head animator Ub Iwerks led a small handful of loyal staffers in producing cartoons starring a new character named Mickey Mouse.[24] The first two Mickey Mouse cartoons, Plane Crazy and The Galloping Gaucho, were previewed in limited engagements during the summer of 1928. For the third Mickey cartoon, however, Disney produced a soundtrack, collaborating with musician Carl Stalling and businessman Pat Powers, who provided Disney with his bootlegged ""Cinephone"" sound-on-film process. Subsequently, the third Mickey Mouse cartoon, Steamboat Willie, became Disney's first cartoon with synchronized sound and was a major success upon its November 1928 debut at the West 57th Theatre in New York City.[25] The Mickey Mouse series of sound cartoons, distributed by Powers through Celebrity Productions, quickly became the most popular cartoon series in the United States.[26][27] A second Disney series of sound cartoons, Silly Symphonies, debuted in 1929 with The Skeleton Dance.[28]","Mickey Mouse in Plane Crazy, the first short film produced with the character as protagonist.","A vintage black and white cartoon image of a mouse character holding a magnifying glass, looking intently at something out of frame. The character has large round ears, wears gloves, and is dressed in shorts. In the background, there is a book and some scattered round objects on the ground.","Alt-text: Black and white image of Mickey Mouse holding a magnifying glass, standing next to a box with an open book on top. Mickey is depicted in his classic early design with white gloves and shorts.","Cartoon character with large round ears holding a magnifying glass in a black-and-white scene, standing next to an open book on a table.","Black and white animation still of Mickey Mouse holding a mirror, wearing shorts, with an open book on the floor nearby."
